      Step     Time          Energy         fmax
BFGS:   28 14:58:43     -180.869421        0.6717
BFGS:   29 14:59:42     -180.975027        0.5319
BFGS:   30 15:00:36     -181.080028        0.5454
BFGS:   31 15:01:28     -181.147958        0.5513
BFGS:   32 15:02:23     -181.199308        0.3862
BFGS:   33 15:03:19     -181.242873        0.4546
BFGS:   34 15:04:20     -181.281559        0.4481
BFGS:   35 15:05:16     -181.316774        0.4015
BFGS:   36 15:06:16     -181.354371        0.3230
BFGS:   37 15:07:12     -181.377646        0.3334
BFGS:   38 15:08:04     -181.399451        0.2750
BFGS:   39 15:09:12     -181.442304        0.3926
BFGS:   40 15:10:09     -181.470874        0.4222
BFGS:   41 15:11:13     -181.508440        0.3931
BFGS:   42 15:12:13     -181.544697        0.4131
BFGS:   43 15:13:20     -181.578479        0.4639
BFGS:   44 15:14:18     -181.615398        0.4239
BFGS:   45 15:15:15     -181.670348        0.4671
BFGS:   46 15:16:18     -181.729883        0.4999
BFGS:   47 15:17:15     -181.786298        0.6217
BFGS:   48 15:18:14     -181.837819        0.5517
BFGS:   49 15:19:15     -181.911797        0.4822
BFGS:   50 15:20:09     -181.954449        0.4254
BFGS:   51 15:21:07     -182.006065        0.3264
BFGS:   52 15:22:01     -182.058151        0.3891
BFGS:   53 15:22:58     -182.122954        0.3636
BFGS:   54 15:23:50     -182.165544        0.3255
BFGS:   55 15:24:50     -182.202809        0.2992
BFGS:   56 15:25:41     -182.236468        0.2964
BFGS:   57 15:26:37     -182.278843        0.3423
BFGS:   58 15:27:28     -182.307270        0.3054
BFGS:   59 15:28:22     -182.331973        0.2698
BFGS:   60 15:29:11     -182.348891        0.2806
BFGS:   61 15:30:03     -182.374653        0.3525
BFGS:   62 15:30:55     -182.396101        0.4149
BFGS:   63 15:31:45     -182.419455        0.3302
BFGS:   64 15:32:34     -182.443809        0.2939
BFGS:   65 15:33:22     -182.465576        0.3019
BFGS:   66 15:34:11     -182.478509        0.2469
BFGS:   67 15:35:00     -182.490487        0.2002
BFGS:   68 15:35:51     -182.502979        0.2024
BFGS:   69 15:36:44     -182.514155        0.2236
BFGS:   70 15:37:38     -182.525608        0.2505
BFGS:   71 15:38:28     -182.536681        0.2599
BFGS:   72 15:39:18     -182.547815        0.2658
BFGS:   73 15:40:09     -182.558275        0.2169
BFGS:   74 15:40:52     -182.566142        0.2145
BFGS:   75 15:41:40     -182.571222        0.1930
BFGS:   76 15:42:24     -182.576284        0.1892
BFGS:   77 15:43:09     -182.583940        0.1599
BFGS:   78 15:43:53     -182.590269        0.1373
BFGS:   79 15:44:34     -182.594179        0.1339
BFGS:   80 15:45:16     -182.596854        0.1051
BFGS:   81 15:45:53     -182.598592        0.0932
Adsorption energy of O atom: -3.817291788036215 eV
Adsorption energy of CO molecule: -16.323155794433063 eV
Activation energy E_activation 6.262134274740783 eV
Adsorption energy of O atom: -3.817291788036215 eV
Adsorption energy of CO molecule: -16.323155794433063 eV
Activation energy E_activation 6.262134274740783 eV
Adsorption energy of O atom: -3.817291788036215 eV
Adsorption energy of CO molecule: -16.323155794433063 eV
Activation energy E_activation 6.262134274740783 eV
Adsorption energy of O atom: -3.817291788036215 eV
Adsorption energy of CO molecule: -16.323155794433063 eV
Activation energy E_activation 6.262134274740783 eV
Adsorption energy of O atom: -3.817291788036215 eV
Adsorption energy of CO molecule: -16.323155794433063 eV
Activation energy E_activation 6.262134274740783 eV
Adsorption energy of O atom: -3.817291788036215 eV
Adsorption energy of CO molecule: -16.323155794433063 eV
Activation energy E_activation 6.262134274740783 eV
Adsorption energy of O atom: -3.817291788036215 eV
Adsorption energy of CO molecule: -16.323155794433063 eV
Activation energy E_activation 6.262134274740783 eV
Adsorption energy of O atom: -3.817291788036215 eV
Adsorption energy of CO molecule: -16.323155794433063 eV
Activation energy E_activation 6.262134274740783 eV
Adsorption energy of O atom: -3.817291788036215 eV
Adsorption energy of CO molecule: -16.323155794433063 eV
Activation energy E_activation 6.262134274740783 eV
Adsorption energy of O atom: -3.817291788036215 eV
Adsorption energy of CO molecule: -16.323155794433063 eV
Activation energy E_activation 6.262134274740783 eV
Adsorption energy of O atom: -3.817291788036215 eV
Adsorption energy of CO molecule: -16.323155794433063 eV
Activation energy E_activation 6.262134274740783 eV
Adsorption energy of O atom: -3.817291788036215 eV
Adsorption energy of CO molecule: -16.323155794433063 eV
Activation energy E_activation 6.262134274740783 eV
Adsorption energy of O atom: -3.817291788036215 eV
Adsorption energy of CO molecule: -16.323155794433063 eV
Activation energy E_activation 6.262134274740783 eV
Adsorption energy of O atom: -3.817291788036215 eV
Adsorption energy of CO molecule: -16.323155794433063 eV
Activation energy E_activation 6.262134274740783 eV
Adsorption energy of O atom: -3.817291788036215 eV
Adsorption energy of CO molecule: -16.323155794433063 eV
Activation energy E_activation 6.262134274740783 eV
Adsorption energy of O atom: -3.817291788036215 eV
Adsorption energy of CO molecule: -16.323155794433063 eV
Activation energy E_activation 6.262134274740783 eV
Adsorption energy of O atom: -3.817291788036215 eV
Adsorption energy of CO molecule: -16.323155794433063 eV
Activation energy E_activation 6.262134274740783 eV
Adsorption energy of O atom: -3.817291788036215 eV
Adsorption energy of CO molecule: -16.323155794433063 eV
Activation energy E_activation 6.262134274740783 eV
Adsorption energy of O atom: -3.817291788036215 eV
Adsorption energy of CO molecule: -16.323155794433063 eV
Activation energy E_activation 6.262134274740783 eV
Adsorption energy of O atom: -3.817291788036215 eV
Adsorption energy of CO molecule: -16.323155794433063 eV
Activation energy E_activation 6.262134274740783 eV
Adsorption energy of O atom: -3.817291788036215 eV
Adsorption energy of CO molecule: -16.323155794433063 eV
Activation energy E_activation 6.262134274740783 eV
Adsorption energy of O atom: -3.817291788036215 eV
Adsorption energy of CO molecule: -16.323155794433063 eV
Activation energy E_activation 6.262134274740783 eV
Adsorption energy of O atom: -3.817291788036215 eV
Adsorption energy of CO molecule: -16.323155794433063 eV
Activation energy E_activation 6.262134274740783 eV
Adsorption energy of O atom: -3.817291788036215 eV
Adsorption energy of CO molecule: -16.323155794433063 eV
Activation energy E_activation 6.262134274740783 eV
Adsorption energy of O atom: -3.817291788036215 eV
Adsorption energy of CO molecule: -16.323155794433063 eV
Activation energy E_activation 6.262134274740783 eV
Adsorption energy of O atom: -3.817291788036215 eV
Adsorption energy of CO molecule: -16.323155794433063 eV
Activation energy E_activation 6.262134274740783 eV
Adsorption energy of O atom: -3.817291788036215 eV
Adsorption energy of CO molecule: -16.323155794433063 eV
Activation energy E_activation 6.262134274740783 eV
Adsorption energy of O atom: -3.817291788036215 eV
Adsorption energy of CO molecule: -16.323155794433063 eV
Activation energy E_activation 6.262134274740783 eV
Adsorption energy of O atom: -3.817291788036215 eV
Adsorption energy of CO molecule: -16.323155794433063 eV
Activation energy E_activation 6.262134274740783 eV
Adsorption energy of O atom: -3.817291788036215 eV
Adsorption energy of CO molecule: -16.323155794433063 eV
Activation energy E_activation 6.262134274740783 eV
