       Step     Time          Energy         fmax
GPMin:   26 20:34:06       -7.274199        0.0429
GPMin:   27 20:34:11       -7.275477        0.0330
GPMin:   28 20:34:16       -7.277599        0.0261
GPMin:   29 20:34:21       -7.278227        0.0211
GPMin:   30 20:34:26       -7.279824        0.0133
       Step     Time          Energy         fmax
GPMin:    0 20:34:36       -5.126320        1.6534
GPMin:    1 20:34:44       -6.282549        0.8802
GPMin:    2 20:34:51       -6.793055        0.4866
GPMin:    3 20:34:57       -7.026402        0.2682
GPMin:    4 20:35:04       -7.107712        0.1358
GPMin:    5 20:35:10       -7.122603        0.0724
GPMin:    6 20:35:16       -7.125208        0.0542
GPMin:    7 20:35:22       -7.133466        0.0409
GPMin:    8 20:35:28       -7.137114        0.0373
GPMin:    9 20:35:33       -7.138601        0.0382
GPMin:   10 20:35:39       -7.140673        0.0219
GPMin:   11 20:35:43       -7.141066        0.0195
       Step     Time          Energy         fmax
GPMin:    0 20:35:56       -4.421817        1.4664
GPMin:    1 20:36:04       -5.564359        0.8098
GPMin:    2 20:36:11       -6.075433        0.4716
GPMin:    3 20:36:19       -6.304201        0.3025
GPMin:    4 20:36:26       -6.378244        0.2389
GPMin:    5 20:36:33       -6.487672        0.2157
GPMin:    6 20:36:40       -6.505097        0.1702
GPMin:    7 20:36:48       -6.566563        0.2471
GPMin:    8 20:36:56       -6.586203        0.2726
GPMin:    9 20:37:02       -6.611982        0.2733
GPMin:   10 20:37:09       -6.667281        0.2574
GPMin:   11 20:37:14       -6.765718        0.2339
GPMin:   12 20:37:20       -6.869783        0.2344
GPMin:   13 20:37:25       -6.963058        0.2214
GPMin:   14 20:37:31       -7.040544        0.1928
GPMin:   15 20:37:36       -7.095488        0.1551
GPMin:   16 20:37:42       -7.134826        0.1392
GPMin:   17 20:37:47       -7.166175        0.1381
GPMin:   18 20:37:53       -7.191241        0.1141
GPMin:   19 20:37:59       -7.210396        0.0774
GPMin:   20 20:38:04       -7.222528        0.0539
GPMin:   21 20:38:10       -7.229369        0.0548
GPMin:   22 20:38:15       -7.233788        0.0425
GPMin:   23 20:38:20       -7.235310        0.0329
GPMin:   24 20:38:26       -7.236858        0.0457
GPMin:   25 20:38:31       -7.238351        0.0220
GPMin:   26 20:38:36       -7.238784        0.0165
       Step     Time          Energy         fmax
GPMin:    0 20:38:45       -5.129428        1.6461
GPMin:    1 20:38:53       -6.284371        0.8764
GPMin:    2 20:39:00       -6.794303        0.4866
GPMin:    3 20:39:07       -7.026793        0.2670
GPMin:    4 20:39:14       -7.107989        0.1352
GPMin:    5 20:39:20       -7.122730        0.0723
GPMin:    6 20:39:25       -7.125356        0.0536
GPMin:    7 20:39:32       -7.133459        0.0390
GPMin:    8 20:39:37       -7.136959        0.0362
GPMin:    9 20:39:43       -7.138534        0.0366
GPMin:   10 20:39:49       -7.140583        0.0241
GPMin:   11 20:39:54       -7.140974        0.0208
GPMin:   12 20:39:59       -7.141189        0.0157
       Step     Time          Energy         fmax
GPMin:    0 20:40:08       -5.391998        1.3548
GPMin:    1 20:40:14       -6.506131        0.7491
GPMin:    2 20:40:20       -6.994930        0.4080
GPMin:    3 20:40:26       -7.209946        0.1863
GPMin:    4 20:40:31       -7.273649        0.0528
GPMin:    5 20:40:36       -7.278526        0.0253
GPMin:    6 20:40:41       -7.278842        0.0252
GPMin:    7 20:40:46       -7.280770        0.0105
       Step     Time          Energy         fmax
GPMin:    0 20:40:56       -5.125176        1.6580
GPMin:    1 20:41:03       -6.283200        0.8811
GPMin:    2 20:41:10       -6.794147        0.4894
GPMin:    3 20:41:17       -7.027129        0.2680
GPMin:    4 20:41:24       -7.109040        0.1347
GPMin:    5 20:41:30       -7.123750        0.0712
GPMin:    6 20:41:36       -7.126117        0.0550
GPMin:    7 20:41:42       -7.134369        0.0380
GPMin:    8 20:41:47       -7.137548        0.0376
GPMin:    9 20:41:52       -7.139072        0.0372
GPMin:   10 20:41:58       -7.141048        0.0230
GPMin:   11 20:42:03       -7.141413        0.0200
GPMin:   12 20:42:07       -7.141595        0.0148
       Step     Time          Energy         fmax
GPMin:    0 20:42:19       -4.537269        1.4605
GPMin:    1 20:42:28       -5.593240        0.7577
GPMin:    2 20:42:36       -6.056902        0.4463
GPMin:    3 20:42:44       -6.269344        0.2737
GPMin:    4 20:42:52       -6.342901        0.2099
GPMin:    5 20:43:00       -6.392643        0.1814
GPMin:    6 20:43:06       -6.398739        0.1641
GPMin:    7 20:43:12       -6.411009        0.1367
GPMin:    8 20:43:18       -6.435784        0.1235
GPMin:    9 20:43:24       -6.446469        0.1253
GPMin:   10 20:43:33       -6.542803        0.1850
GPMin:   11 20:43:41       -6.582215        0.2312
GPMin:   12 20:43:49       -6.615531        0.2544
GPMin:   13 20:43:56       -6.680599        0.2618
GPMin:   14 20:44:02       -6.780480        0.2461
GPMin:   15 20:44:09       -6.878245        0.2179
GPMin:   16 20:44:16       -6.951749        0.1804
GPMin:   17 20:44:23       -7.001986        0.1662
GPMin:   18 20:44:29       -7.035840        0.1484
GPMin:   19 20:44:35       -7.056802        0.1170
GPMin:   20 20:44:41       -7.070486        0.0948
GPMin:   21 20:44:46       -7.078460        0.0596
GPMin:   22 20:44:52       -7.083713        0.0579
GPMin:   23 20:44:57       -7.087041        0.0363
GPMin:   24 20:45:03       -7.089300        0.0419
GPMin:   25 20:45:09       -7.092026        0.0553
GPMin:   26 20:45:14       -7.094582        0.0392
GPMin:   27 20:45:20       -7.096422        0.0318
GPMin:   28 20:45:25       -7.098948        0.0441
GPMin:   29 20:45:31       -7.101152        0.0395
GPMin:   30 20:45:37       -7.103299        0.0301
GPMin:   31 20:45:42       -7.105115        0.0262
GPMin:   32 20:45:48       -7.106957        0.0309
GPMin:   33 20:45:54       -7.107884        0.0360
GPMin:   34 20:46:00       -7.111036        0.0302
GPMin:   35 20:46:05       -7.112215        0.0250
GPMin:   36 20:46:10       -7.114455        0.0321
GPMin:   37 20:46:16       -7.115897        0.0292
GPMin:   38 20:46:21       -7.118059        0.0244
GPMin:   39 20:46:27       -7.119076        0.0224
GPMin:   40 20:46:33       -7.120820        0.0200
       Step     Time          Energy         fmax
GPMin:    0 20:46:43       -5.121504        1.6518
GPMin:    1 20:46:50       -6.279117        0.8805
GPMin:    2 20:46:57       -6.790351        0.4891
GPMin:    3 20:47:04       -7.024355        0.2665
GPMin:    4 20:47:11       -7.107194        0.1338
GPMin:    5 20:47:17       -7.122132        0.0711
GPMin:    6 20:47:23       -7.124841        0.0548
GPMin:    7 20:47:29       -7.133399        0.0400
GPMin:    8 20:47:35       -7.137023        0.0382
GPMin:    9 20:47:39       -7.138630        0.0388
