       Step     Time          Energy         fmax
GPMin:   10 10:15:22       -4.555748        0.1746
GPMin:   11 10:15:29       -4.604426        0.1382
GPMin:   12 10:15:35       -4.641166        0.1248
GPMin:   13 10:15:41       -4.665031        0.1200
GPMin:   14 10:15:46       -4.686633        0.1159
GPMin:   15 10:15:52       -4.715631        0.1084
GPMin:   16 10:15:57       -4.746301        0.0953
GPMin:   17 10:16:03       -4.772996        0.0824
GPMin:   18 10:16:08       -4.801813        0.0775
GPMin:   19 10:16:14       -4.828680        0.0755
GPMin:   20 10:16:19       -4.854247        0.0724
GPMin:   21 10:16:24       -4.877420        0.0729
GPMin:   22 10:16:29       -4.896296        0.0717
GPMin:   23 10:16:34       -4.911485        0.0580
GPMin:   24 10:16:39       -4.919816        0.0529
GPMin:   25 10:16:43       -4.924599        0.0537
GPMin:   26 10:16:48       -4.928839        0.0393
GPMin:   27 10:16:53       -4.931779        0.0212
GPMin:   28 10:16:59       -4.933233        0.0149
       Step     Time          Energy         fmax
GPMin:    0 10:17:09       -3.762587        0.7671
GPMin:    1 10:17:16       -4.145457        0.2854
GPMin:    2 10:17:22       -4.228641        0.1197
GPMin:    3 10:17:28       -4.255593        0.1236
GPMin:    4 10:17:33       -4.297521        0.1365
GPMin:    5 10:17:39       -4.343951        0.1453
GPMin:    6 10:17:45       -4.394180        0.1036
GPMin:    7 10:17:51       -4.418269        0.0521
GPMin:    8 10:17:55       -4.422166        0.0505
GPMin:    9 10:18:01       -4.429320        0.0439
GPMin:   10 10:18:06       -4.435664        0.0404
GPMin:   11 10:18:12       -4.442181        0.0328
GPMin:   12 10:18:17       -4.447367        0.0282
GPMin:   13 10:18:22       -4.451864        0.0266
GPMin:   14 10:18:27       -4.455787        0.0247
GPMin:   15 10:18:32       -4.458808        0.0219
GPMin:   16 10:18:37       -4.462588        0.0250
GPMin:   17 10:18:42       -4.470229        0.0399
GPMin:   18 10:18:47       -4.490011        0.0564
GPMin:   19 10:18:53       -4.523503        0.0825
GPMin:   20 10:18:58       -4.577183        0.1167
GPMin:   21 10:19:03       -4.650306        0.1501
GPMin:   22 10:19:08       -4.731522        0.1701
GPMin:   23 10:19:13       -4.804945        0.1569
GPMin:   24 10:19:19       -4.855790        0.1145
GPMin:   25 10:19:24       -4.878046        0.0734
GPMin:   26 10:19:29       -4.883131        0.0767
GPMin:   27 10:19:34       -4.891927        0.0859
GPMin:   28 10:19:39       -4.905262        0.0617
GPMin:   29 10:19:43       -4.914505        0.0437
GPMin:   30 10:19:48       -4.920517        0.0405
GPMin:   31 10:19:52       -4.925579        0.0369
GPMin:   32 10:19:57       -4.930521        0.0225
GPMin:   33 10:20:02       -4.932195        0.0158
       Step     Time          Energy         fmax
GPMin:    0 10:20:12       -4.257216        0.2779
GPMin:    1 10:20:18       -4.419840        0.2283
GPMin:    2 10:20:24       -4.515375        0.1942
GPMin:    3 10:20:31       -4.577813        0.1537
GPMin:    4 10:20:37       -4.613277        0.1721
GPMin:    5 10:20:43       -4.670413        0.2003
GPMin:    6 10:20:49       -4.734171        0.1990
GPMin:    7 10:20:55       -4.793118        0.1554
GPMin:    8 10:21:01       -4.835105        0.1065
GPMin:    9 10:21:06       -4.863188        0.0924
GPMin:   10 10:21:10       -4.880976        0.0446
GPMin:   11 10:21:16       -4.885922        0.0266
GPMin:   12 10:21:20       -4.887097        0.0206
GPMin:   13 10:21:25       -4.888477        0.0151
       Step     Time          Energy         fmax
GPMin:    0 10:21:35       -4.093676        0.3353
GPMin:    1 10:21:42       -4.323329        0.3168
GPMin:    2 10:21:49       -4.473286        0.2542
GPMin:    3 10:21:56       -4.569076        0.1626
GPMin:    4 10:22:02       -4.619196        0.1520
GPMin:    5 10:22:08       -4.657194        0.1760
GPMin:    6 10:22:14       -4.704822        0.1358
GPMin:    7 10:22:19       -4.735797        0.1088
GPMin:    8 10:22:25       -4.766494        0.0998
GPMin:    9 10:22:31       -4.795954        0.0936
GPMin:   10 10:22:36       -4.823331        0.0875
GPMin:   11 10:22:41       -4.853174        0.0742
GPMin:   12 10:22:46       -4.875673        0.0706
GPMin:   13 10:22:51       -4.893788        0.0720
GPMin:   14 10:22:55       -4.908158        0.0545
GPMin:   15 10:23:00       -4.918546        0.0511
GPMin:   16 10:23:05       -4.925152        0.0424
GPMin:   17 10:23:09       -4.929307        0.0294
GPMin:   18 10:23:14       -4.931492        0.0298
GPMin:   19 10:23:19       -4.933435        0.0149
       Step     Time          Energy         fmax
GPMin:    0 10:23:28       -4.312776        0.3026
GPMin:    1 10:23:34       -4.457683        0.2009
GPMin:    2 10:23:40       -4.542499        0.2104
GPMin:    3 10:23:46       -4.627016        0.2324
GPMin:    4 10:23:52       -4.716206        0.2294
GPMin:    5 10:23:58       -4.800079        0.1711
GPMin:    6 10:24:04       -4.849550        0.0803
GPMin:    7 10:24:09       -4.863853        0.0666
GPMin:    8 10:24:14       -4.873446        0.0526
GPMin:    9 10:24:19       -4.881529        0.0373
GPMin:   10 10:24:24       -4.885604        0.0287
GPMin:   11 10:24:28       -4.887485        0.0206
GPMin:   12 10:24:32       -4.888835        0.0157
       Step     Time          Energy         fmax
GPMin:    0 10:24:41       -4.511346        0.3248
GPMin:    1 10:24:47       -4.649014        0.2381
GPMin:    2 10:24:53       -4.721789        0.1615
GPMin:    3 10:24:59       -4.779633        0.1458
GPMin:    4 10:25:04       -4.831782        0.1140
GPMin:    5 10:25:10       -4.866415        0.0765
GPMin:    6 10:25:16       -4.888265        0.0666
GPMin:    7 10:25:21       -4.906083        0.0486
GPMin:    8 10:25:26       -4.917486        0.0451
GPMin:    9 10:25:31       -4.925361        0.0499
GPMin:   10 10:25:35       -4.930405        0.0353
GPMin:   11 10:25:40       -4.932956        0.0175
       Step     Time          Energy         fmax
GPMin:    0 10:25:51       -4.005894        0.4281
GPMin:    1 10:25:58       -4.217444        0.3434
GPMin:    2 10:26:04       -4.379666        0.3109
GPMin:    3 10:26:10       -4.502458        0.2840
GPMin:    4 10:26:16       -4.600096        0.2642
GPMin:    5 10:26:22       -4.683250        0.2209
GPMin:    6 10:26:28       -4.750286        0.1988
GPMin:    7 10:26:34       -4.799534        0.1455
GPMin:    8 10:26:40       -4.829892        0.0993
GPMin:    9 10:26:46       -4.847425        0.1026
GPMin:   10 10:26:52       -4.859714        0.0675
GPMin:   11 10:26:57       -4.869747        0.0621
GPMin:   12 10:27:02       -4.878290        0.0453
GPMin:   13 10:27:07       -4.883661        0.0276
GPMin:   14 10:27:11       -4.885696        0.0241
