Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0005        -331.3574    -334.7695       3.4121   361.6
0.0010        -331.3579    -334.6828       3.3248   352.4
0.0015        -331.3555    -334.5054       3.1499   333.8
0.0020        -331.3516    -334.2807       2.9291   310.4
0.0025        -331.3478    -334.0748       2.7270   289.0
0.0030        -331.3452    -333.9498       2.6045   276.0
0.0035        -331.3445    -333.9376       2.5931   274.8
0.0040        -331.3454    -334.0286       2.6833   284.4
0.0045        -331.3456    -334.1823       2.8367   300.6
0.0050        -331.3448    -334.3524       3.0076   318.7
0.0055        -331.3426    -334.5000       3.1573   334.6
0.0060        -331.3395    -334.5980       3.2585   345.3
0.0065        -331.3356    -334.6328       3.2972   349.4
0.0070        -331.3301    -334.6088       3.2787   347.5
0.0075        -331.3243    -334.5518       3.2275   342.0
0.0080        -331.3178    -334.4976       3.1798   337.0
0.0085        -331.3112    -334.4890       3.1778   336.8
0.0090        -331.3060    -334.5633       3.2573   345.2
0.0095        -331.3036    -334.7320       3.4285   363.3
0.0100        -331.3039    -334.9637       3.6599   387.9
0.0105        -331.3041    -335.1897       3.8856   411.8
0.0110        -331.3033    -335.3433       4.0400   428.2
0.0115        -331.3005    -335.3881       4.0875   433.2
0.0120        -331.2974    -335.3298       4.0324   427.3
0.0125        -331.2948    -335.2037       3.9090   414.3
0.0130        -331.2938    -335.0534       3.7596   398.4
0.0135        -331.2951    -334.9118       3.6167   383.3
0.0140        -331.2967    -334.7936       3.4969   370.6
0.0145        -331.2989    -334.7082       3.4093   361.3
0.0150        -331.3014    -334.6625       3.3611   356.2
0.0155        -331.3052    -334.6573       3.3521   355.2
0.0160        -331.3088    -334.6818       3.3729   357.5
0.0165        -331.3122    -334.7266       3.4144   361.9
0.0170        -331.3154    -334.7898       3.4744   368.2
0.0175        -331.3193    -334.8727       3.5534   376.6
0.0180        -331.3247    -334.9685       3.6438   386.2
0.0185        -331.3316    -335.0584       3.7268   395.0
0.0190        -331.3390    -335.1144       3.7754   400.1
0.0195        -331.3460    -335.1150       3.7690   399.4
0.0200        -331.3532    -335.0574       3.7042   392.6
0.0205        -331.3597    -334.9508       3.5911   380.6
0.0210        -331.3657    -334.8197       3.4540   366.0
0.0215        -331.3709    -334.7010       3.3301   352.9
0.0220        -331.3773    -334.6336       3.2563   345.1
0.0225        -331.3862    -334.6344       3.2482   344.2
0.0230        -331.3964    -334.6826       3.2862   348.3
0.0235        -331.4070    -334.7341       3.3271   352.6
0.0240        -331.4154    -334.7473       3.3319   353.1
0.0245        -331.4223    -334.7081       3.2858   348.2
0.0250        -331.4282    -334.6285       3.2003   339.2
0.0255        -331.4338    -334.5382       3.1044   329.0
0.0260        -331.4389    -334.4693       3.0304   321.1
0.0265        -331.4452    -334.4464       3.0012   318.1
0.0270        -331.4519    -334.4780       3.0260   320.7
0.0275        -331.4588    -334.5612       3.1024   328.8
0.0280        -331.4663    -334.6840       3.2177   341.0
0.0285        -331.4743    -334.8265       3.3522   355.3
0.0290        -331.4830    -334.9622       3.4792   368.7
0.0295        -331.4917    -335.0634       3.5717   378.5
0.0300        -331.4997    -335.1140       3.6143   383.0
0.0305        -331.5064    -335.1163       3.6099   382.6
0.0310        -331.5127    -335.0990       3.5863   380.1
0.0315        -331.5210    -335.1019       3.5809   379.5
0.0320        -331.5317    -335.1418       3.6101   382.6
0.0325        -331.5452    -335.2002       3.6551   387.4
0.0330        -331.5586    -335.2338       3.6753   389.5
0.0335        -331.5710    -335.2069       3.6359   385.3
0.0340        -331.5810    -335.1132       3.5323   374.3
0.0345        -331.5893    -334.9841       3.3949   359.8
0.0350        -331.5982    -334.8740       3.2758   347.2
0.0355        -331.6089    -334.8251       3.2162   340.8
0.0360        -331.6213    -334.8474       3.2261   341.9
0.0365        -331.6342    -334.9224       3.2883   348.5
0.0370        -331.6469    -335.0225       3.3756   357.7
0.0375        -331.6604    -335.1247       3.4643   367.1
0.0380        -331.6744    -335.2043       3.5299   374.1
0.0385        -331.6887    -335.2374       3.5487   376.1
0.0390        -331.7023    -335.2064       3.5041   371.4
0.0395        -331.7140    -335.1103       3.3964   359.9
0.0400        -331.7242    -334.9769       3.2527   344.7
0.0405        -331.7346    -334.8525       3.1179   330.4
0.0410        -331.7459    -334.7738       3.0279   320.9
0.0415        -331.7583    -334.7488       2.9905   316.9
0.0420        -331.7709    -334.7618       2.9909   317.0
0.0425        -331.7829    -334.7891       3.0062   318.6
0.0430        -331.7939    -334.8118       3.0178   319.8
0.0435        -331.8043    -334.8223       3.0180   319.8
0.0440        -331.8138    -334.8215       3.0077   318.7
0.0445        -331.8228    -334.8174       2.9945   317.4
0.0450        -331.8324    -334.8184       2.9860   316.4
0.0455        -331.8419    -334.8242       2.9824   316.1
0.0460        -331.8506    -334.8316       2.9810   315.9
0.0465        -331.8584    -334.8422       2.9837   316.2
0.0470        -331.8649    -334.8687       3.0038   318.3
0.0475        -331.8718    -334.9332       3.0614   324.4
0.0480        -331.8811    -335.0460       3.1649   335.4
0.0485        -331.8924    -335.1875       3.2951   349.2
0.0490        -331.9042    -335.3110       3.4068   361.0
0.0495        -331.9141    -335.3690       3.4549   366.1
0.0500        -331.9217    -335.3461       3.4245   362.9
0.0505        -331.9273    -335.2691       3.3418   354.2
0.0510        -331.9336    -335.1917       3.2581   345.3
0.0515        -331.9420    -335.1559       3.2139   340.6
0.0520        -331.9523    -335.1687       3.2164   340.9
0.0525        -331.9628    -335.2085       3.2457   344.0
0.0530        -331.9730    -335.2457       3.2727   346.8
0.0535        -331.9820    -335.2585       3.2765   347.2
0.0540        -331.9903    -335.2434       3.2531   344.8
0.0545        -331.9977    -335.2070       3.2093   340.1
0.0550        -332.0048    -335.1647       3.1599   334.9
0.0555        -332.0121    -335.1360       3.1239   331.1
0.0560        -332.0198    -335.1360       3.1162   330.2
0.0565        -332.0283    -335.1685       3.1402   332.8
0.0570        -332.0374    -335.2240       3.1866   337.7
0.0575        -332.0462    -335.2843       3.2381   343.2
0.0580        -332.0550    -335.3336       3.2786   347.5
0.0585        -332.0631    -335.3619       3.2987   349.6
0.0590        -332.0714    -335.3679       3.2965   349.4
0.0595        -332.0791    -335.3548       3.2756   347.1
0.0600        -332.0872    -335.3313       3.2441   343.8
0.0605        -332.0955    -335.3046       3.2091   340.1
0.0610        -332.1035    -335.2782       3.1746   336.4
0.0615        -332.1115    -335.2559       3.1443   333.2
0.0620        -332.1194    -335.2405       3.1211   330.8
0.0625        -332.1275    -335.2327       3.1052   329.1
0.0630        -332.1360    -335.2267       3.0906   327.5
0.0635        -332.1438    -335.2076       3.0638   324.7
0.0640        -332.1502    -335.1654       3.0152   319.5
0.0645        -332.1551    -335.1060       2.9509   312.7
0.0650        -332.1595    -335.0503       2.8909   306.4
0.0655        -332.1637    -335.0214       2.8577   302.9
0.0660        -332.1685    -335.0337       2.8653   303.7
0.0665        -332.1735    -335.0873       2.9137   308.8
0.0670        -332.1789    -335.1708       2.9918   317.1
0.0675        -332.1842    -335.2649       3.0807   326.5
0.0680        -332.1891    -335.3488       3.1597   334.9
0.0685        -332.1935    -335.4069       3.2134   340.5
0.0690        -332.1969    -335.4340       3.2371   343.1
0.0695        -332.2003    -335.4374       3.2371   343.1
0.0700        -332.2032    -335.4277       3.2245   341.7
0.0705        -332.2061    -335.4196       3.2135   340.6
0.0710        -332.2093    -335.4264       3.2171   340.9
0.0715        -332.2132    -335.4553       3.2422   343.6
0.0720        -332.2182    -335.5015       3.2833   348.0
0.0725        -332.2236    -335.5446       3.3210   352.0
0.0730        -332.2284    -335.5600       3.3315   353.1
0.0735        -332.2321    -335.5329       3.3008   349.8
0.0740        -332.2351    -335.4658       3.2307   342.4
0.0745        -332.2374    -335.3743       3.1368   332.4
0.0750        -332.2397    -335.2805       3.0408   322.3
0.0755        -332.2417    -335.2058       2.9641   314.1
0.0760        -332.2440    -335.1670       2.9230   309.8
0.0765        -332.2463    -335.1728       2.9265   310.1
0.0770        -332.2490    -335.2233       2.9743   315.2
0.0775        -332.2522    -335.3076       3.0555   323.8
0.0780        -332.2555    -335.4037       3.1482   333.6
0.0785        -332.2581    -335.4859       3.2278   342.1
0.0790        -332.2601    -335.5375       3.2773   347.3
0.0795        -332.2611    -335.5538       3.2927   349.0
0.0800        -332.2619    -335.5447       3.2829   347.9
0.0805        -332.2628    -335.5263       3.2634   345.8
0.0810        -332.2641    -335.5117       3.2477   344.2
0.0815        -332.2653    -335.5109       3.2456   344.0
0.0820        -332.2666    -335.5337       3.2670   346.2
0.0825        -332.2688    -335.5831       3.3143   351.2
0.0830        -332.2722    -335.6472       3.3750   357.7
0.0835        -332.2752    -335.7002       3.4249   363.0
0.0840        -332.2780    -335.7177       3.4398   364.5
0.0845        -332.2801    -335.6878       3.4078   361.1
0.0850        -332.2817    -335.6138       3.3321   353.1
0.0855        -332.2825    -335.5104       3.2280   342.1
0.0860        -332.2833    -335.4032       3.1199   330.6
0.0865        -332.2842    -335.3173       3.0331   321.4
0.0870        -332.2861    -335.2696       2.9834   316.2
0.0875        -332.2882    -335.2624       2.9742   315.2
0.0880        -332.2902    -335.2891       2.9988   317.8
0.0885        -332.2922    -335.3377       3.0455   322.8
0.0890        -332.2939    -335.3923       3.0984   328.4
0.0895        -332.2951    -335.4387       3.1436   333.2
0.0900        -332.2957    -335.4693       3.1736   336.3
0.0905        -332.2963    -335.4808       3.1845   337.5
0.0910        -332.2963    -335.4718       3.1755   336.5
0.0915        -332.2955    -335.4477       3.1522   334.1
0.0920        -332.2950    -335.4218       3.1268   331.4
0.0925        -332.2951    -335.4016       3.1065   329.2
0.0930        -332.2956    -335.3835       3.0879   327.3
0.0935        -332.2951    -335.3566       3.0616   324.5
0.0940        -332.2946    -335.3141       3.0195   320.0
0.0945        -332.2930    -335.2540       2.9610   313.8
0.0950        -332.2907    -335.1858       2.8950   306.8
0.0955        -332.2882    -335.1253       2.8372   300.7
0.0960        -332.2855    -335.0865       2.8010   296.8
0.0965        -332.2833    -335.0764       2.7931   296.0
0.0970        -332.2810    -335.0914       2.8104   297.8
0.0975        -332.2780    -335.1222       2.8442   301.4
0.0980        -332.2744    -335.1613       2.8870   306.0
0.0985        -332.2703    -335.2025       2.9321   310.7
0.0990        -332.2658    -335.2376       2.9718   314.9
0.0995        -332.2608    -335.2600       2.9993   317.9
0.1000        -332.2544    -335.2679       3.0135   319.4
0.1005        -332.2472    -335.2727       3.0255   320.6
0.1010        -332.2397    -335.2949       3.0552   323.8
0.1015        -332.2330    -335.3531       3.1201   330.7
0.1020        -332.2276    -335.4467       3.2191   341.2
0.1025        -332.2230    -335.5495       3.3265   352.5
0.1030        -332.2175    -335.6230       3.4056   360.9
0.1035        -332.2098    -335.6409       3.4311   363.6
0.1040        -332.2015    -335.6034       3.4019   360.5
0.1045        -332.1920    -335.5308       3.3387   353.8
0.1050        -332.1840    -335.4561       3.2721   346.8
0.1055        -332.1765    -335.4035       3.2270   342.0
0.1060        -332.1706    -335.3853       3.2147   340.7
0.1065        -332.1651    -335.3963       3.2312   342.4
0.1070        -332.1596    -335.4232       3.2636   345.9
0.1075        -332.1535    -335.4526       3.2991   349.6
0.1080        -332.1475    -335.4762       3.3287   352.8
0.1085        -332.1412    -335.4873       3.3461   354.6
0.1090        -332.1349    -335.4840       3.3491   354.9
0.1095        -332.1278    -335.4700       3.3422   354.2
0.1100        -332.1207    -335.4587       3.3380   353.8
0.1105        -332.1138    -335.4649       3.3511   355.1
0.1110        -332.1079    -335.4974       3.3896   359.2
0.1115        -332.1027    -335.5533       3.4507   365.7
0.1120        -332.0988    -335.6165       3.5177   372.8
0.1125        -332.0954    -335.6546       3.5591   377.2
0.1130        -332.0907    -335.6348       3.5441   375.6
0.1135        -332.0847    -335.5478       3.4630   367.0
0.1140        -332.0780    -335.4106       3.3326   353.2
0.1145        -332.0714    -335.2600       3.1886   337.9
0.1150        -332.0661    -335.1352       3.0691   325.3
0.1155        -332.0620    -335.0585       2.9965   317.6
0.1160        -332.0586    -335.0321       2.9735   315.1
0.1165        -332.0553    -335.0431       2.9878   316.6
0.1170        -332.0511    -335.0734       3.0223   320.3
0.1175        -332.0460    -335.1104       3.0643   324.7
0.1180        -332.0403    -335.1495       3.1093   329.5
0.1185        -332.0349    -335.1920       3.1570   334.6
0.1190        -332.0296    -335.2344       3.2048   339.6
0.1195        -332.0237    -335.2704       3.2467   344.1
0.1200        -332.0175    -335.2956       3.2781   347.4
0.1205        -332.0104    -335.3120       3.3016   349.9
0.1210        -332.0028    -335.3338       3.3310   353.0
0.1215        -331.9959    -335.3794       3.3834   358.6
0.1220        -331.9906    -335.4566       3.4660   367.3
0.1225        -331.9863    -335.5512       3.5649   377.8
0.1230        -331.9821    -335.6321       3.6500   386.8
0.1235        -331.9771    -335.6715       3.6944   391.5
0.1240        -331.9720    -335.6588       3.6868   390.7
0.1245        -331.9662    -335.6002       3.6340   385.1
0.1250        -331.9613    -335.5173       3.5560   376.9
0.1255        -331.9570    -335.4330       3.4761   368.4
0.1260        -331.9535    -335.3659       3.4125   361.6
0.1265        -331.9513    -335.3240       3.3727   357.4
0.1270        -331.9498    -335.3018       3.3521   355.2
0.1275        -331.9480    -335.2863       3.3383   353.8
0.1280        -331.9457    -335.2702       3.3244   352.3
0.1285        -331.9437    -335.2545       3.3108   350.9
0.1290        -331.9415    -335.2425       3.3011   349.8
0.1295        -331.9400    -335.2385       3.2985   349.6
0.1300        -331.9378    -335.2412       3.3034   350.1
0.1305        -331.9357    -335.2545       3.3188   351.7
0.1310        -331.9339    -335.2832       3.3492   354.9
0.1315        -331.9327    -335.3280       3.3953   359.8
0.1320        -331.9327    -335.3801       3.4473   365.3
0.1325        -331.9328    -335.4158       3.4830   369.1
0.1330        -331.9321    -335.4141       3.4820   369.0
0.1335        -331.9308    -335.3688       3.4380   364.3
0.1340        -331.9284    -335.2914       3.3629   356.4
0.1345        -331.9260    -335.2097       3.2837   348.0
0.1350        -331.9243    -335.1539       3.2296   342.3
0.1355        -331.9242    -335.1438       3.2196   341.2
0.1360        -331.9249    -335.1782       3.2533   344.8
0.1365        -331.9262    -335.2408       3.3146   351.3
0.1370        -331.9272    -335.3071       3.3799   358.2
0.1375        -331.9282    -335.3539       3.4256   363.0
0.1380        -331.9288    -335.3625       3.4337   363.9
0.1385        -331.9291    -335.3269       3.3978   360.1
0.1390        -331.9290    -335.2521       3.3231   352.2
0.1395        -331.9277    -335.1547       3.2270   342.0
0.1400        -331.9256    -335.0664       3.1408   332.9
0.1405        -331.9243    -335.0259       3.1016   328.7
0.1410        -331.9254    -335.0576       3.1322   331.9
0.1415        -331.9276    -335.1504       3.2228   341.5
0.1420        -331.9305    -335.2632       3.3327   353.2
0.1425        -331.9325    -335.3460       3.4135   361.8
0.1430        -331.9324    -335.3685       3.4361   364.1
0.1435        -331.9311    -335.3329       3.4019   360.5
0.1440        -331.9302    -335.2610       3.3308   353.0
0.1445        -331.9299    -335.1744       3.2445   343.8
0.1450        -331.9297    -335.0911       3.1614   335.0
0.1455        -331.9292    -335.0265       3.0973   328.2
0.1460        -331.9290    -334.9958       3.0667   325.0
0.1465        -331.9293    -335.0079       3.0786   326.3
0.1470        -331.9301    -335.0610       3.1308   331.8
0.1475        -331.9318    -335.1395       3.2076   339.9
0.1480        -331.9335    -335.2169       3.2834   348.0
0.1485        -331.9351    -335.2655       3.3303   352.9
0.1490        -331.9358    -335.2629       3.3270   352.6
0.1495        -331.9347    -335.2039       3.2692   346.5
0.1500        -331.9319    -335.1130       3.1811   337.1
0.1505        -331.9286    -335.0402       3.1116   329.8
0.1510        -331.9268    -335.0389       3.1121   329.8
0.1515        -331.9280    -335.1328       3.2048   339.6
0.1520        -331.9317    -335.2957       3.3640   356.5
0.1525        -331.9350    -335.4625       3.5275   373.8
0.1530        -331.9365    -335.5695       3.6330   385.0
0.1535        -331.9363    -335.5860       3.6497   386.8
0.1540        -331.9348    -335.5194       3.5846   379.9
0.1545        -331.9333    -335.4042       3.4710   367.8
0.1550        -331.9326    -335.2823       3.3497   355.0
0.1555        -331.9329    -335.1876       3.2547   344.9
0.1560        -331.9339    -335.1409       3.2070   339.9
0.1565        -331.9359    -335.1497       3.2139   340.6
0.1570        -331.9386    -335.2063       3.2676   346.3
0.1575        -331.9420    -335.2893       3.3473   354.7
0.1580        -331.9453    -335.3712       3.4258   363.1
0.1585        -331.9492    -335.4243       3.4751   368.3
0.1590        -331.9521    -335.4254       3.4733   368.1
0.1595        -331.9538    -335.3699       3.4161   362.0
0.1600        -331.9549    -335.2744       3.3196   351.8
0.1605        -331.9550    -335.1722       3.2171   340.9
0.1610        -331.9559    -335.1075       3.1516   334.0
0.1615        -331.9582    -335.1112       3.1531   334.2
0.1620        -331.9624    -335.1867       3.2243   341.7
0.1625        -331.9674    -335.3077       3.3404   354.0
0.1630        -331.9713    -335.4367       3.4654   367.3
0.1635        -331.9751    -335.5470       3.5719   378.5
0.1640        -331.9782    -335.6237       3.6454   386.3
0.1645        -331.9817    -335.6662       3.6845   390.5
0.1650        -331.9851    -335.6813       3.6961   391.7
0.1655        -331.9893    -335.6806       3.6913   391.2
0.1660        -331.9942    -335.6772       3.6830   390.3
0.1665        -332.0000    -335.6824       3.6825   390.3
0.1670        -332.0067    -335.7039       3.6972   391.8
0.1675        -332.0145    -335.7428       3.7283   395.1
0.1680        -332.0238    -335.7931       3.7693   399.5
0.1685        -332.0336    -335.8417       3.8081   403.6
0.1690        -332.0448    -335.8774       3.8327   406.2
0.1695        -332.0561    -335.8883       3.8321   406.1
0.1700        -332.0677    -335.8689       3.8012   402.8
0.1705        -332.0789    -335.8276       3.7487   397.3
0.1710        -332.0904    -335.7864       3.6960   391.7
0.1715        -332.1039    -335.7681       3.6642   388.3
0.1720        -332.1194    -335.7753       3.6559   387.4
0.1725        -332.1349    -335.7900       3.6551   387.4
0.1730        -332.1503    -335.7951       3.6447   386.3
0.1735        -332.1650    -335.7856       3.6206   383.7
0.1740        -332.1801    -335.7718       3.5917   380.6
0.1745        -332.1968    -335.7644       3.5675   378.1
0.1750        -332.2141    -335.7619       3.5478   376.0
0.1755        -332.2318    -335.7552       3.5234   373.4
0.1760        -332.2491    -335.7335       3.4844   369.3
0.1765        -332.2661    -335.6932       3.4271   363.2
0.1770        -332.2823    -335.6390       3.3568   355.7
0.1775        -332.2982    -335.5846       3.2865   348.3
0.1780        -332.3141    -335.5435       3.2294   342.2
0.1785        -332.3303    -335.5242       3.1939   338.5
0.1790        -332.3470    -335.5276       3.1806   337.1
0.1795        -332.3637    -335.5464       3.1827   337.3
0.1800        -332.3805    -335.5684       3.1879   337.8
0.1805        -332.3965    -335.5821       3.1856   337.6
0.1810        -332.4121    -335.5854       3.1733   336.3
0.1815        -332.4275    -335.5808       3.1532   334.2
0.1820        -332.4431    -335.5727       3.1296   331.7
0.1825        -332.4579    -335.5627       3.1048   329.0
0.1830        -332.4720    -335.5547       3.0827   326.7
0.1835        -332.4854    -335.5581       3.0727   325.6
0.1840        -332.4992    -335.5876       3.0884   327.3
0.1845        -332.5138    -335.6502       3.1363   332.4
0.1850        -332.5292    -335.7382       3.2090   340.1
0.1855        -332.5451    -335.8337       3.2886   348.5
0.1860        -332.5608    -335.9150       3.3542   355.5
0.1865        -332.5761    -335.9671       3.3910   359.4
0.1870        -332.5910    -335.9867       3.3957   359.9
0.1875        -332.6054    -335.9815       3.3761   357.8
0.1880        -332.6200    -335.9676       3.3476   354.8
0.1885        -332.6350    -335.9608       3.3258   352.5
0.1890        -332.6507    -335.9691       3.3184   351.7
0.1895        -332.6673    -335.9905       3.3232   352.2
0.1900        -332.6841    -336.0134       3.3293   352.8
0.1905        -332.7008    -336.0226       3.3218   352.0
0.1910        -332.7170    -336.0077       3.2907   348.7
0.1915        -332.7325    -335.9702       3.2377   343.1
0.1920        -332.7476    -335.9189       3.1713   336.1
0.1925        -332.7623    -335.8630       3.1007   328.6
0.1930        -332.7766    -335.8108       3.0342   321.6
0.1935        -332.7906    -335.7666       2.9760   315.4
0.1940        -332.8036    -335.7330       2.9294   310.4
0.1945        -332.8165    -335.7148       2.8983   307.2
0.1950        -332.8290    -335.7139       2.8849   305.7
0.1955        -332.8417    -335.7284       2.8867   305.9
0.1960        -332.8541    -335.7484       2.8943   306.7
0.1965        -332.8659    -335.7607       2.8948   306.8
0.1970        -332.8769    -335.7565       2.8796   305.2
0.1975        -332.8864    -335.7336       2.8472   301.7
0.1980        -332.8952    -335.7000       2.8048   297.2
0.1985        -332.9038    -335.6676       2.7639   292.9
0.1990        -332.9120    -335.6429       2.7309   289.4
0.1995        -332.9201    -335.6273       2.7072   286.9
0.2000        -332.9278    -335.6166       2.6888   285.0
0.2005        -332.9345    -335.6033       2.6689   282.8
0.2010        -332.9403    -335.5843       2.6440   280.2
0.2015        -332.9452    -335.5626       2.6174   277.4
0.2020        -332.9492    -335.5465       2.5973   275.3
0.2025        -332.9528    -335.5454       2.5926   274.8
0.2030        -332.9567    -335.5634       2.6067   276.3
0.2035        -332.9601    -335.5941       2.6340   279.1
0.2040        -332.9629    -335.6266       2.6636   282.3
0.2045        -332.9647    -335.6509       2.6862   284.7
0.2050        -332.9649    -335.6655       2.7006   286.2
0.2055        -332.9643    -335.6805       2.7162   287.9
0.2060        -332.9634    -335.7111       2.7478   291.2
0.2065        -332.9630    -335.7686       2.8056   297.3
0.2070        -332.9629    -335.8485       2.8856   305.8
0.2075        -332.9625    -335.9328       2.9703   314.8
0.2080        -332.9616    -335.9996       3.0380   322.0
0.2085        -332.9587    -336.0326       3.0738   325.8
0.2090        -332.9550    -336.0332       3.0781   326.2
0.2095        -332.9510    -336.0131       3.0621   324.5
0.2100        -332.9479    -335.9852       3.0373   321.9
0.2105        -332.9443    -335.9530       3.0087   318.8
0.2110        -332.9404    -335.9174       2.9770   315.5
0.2115        -332.9360    -335.8821       2.9461   312.2
0.2120        -332.9311    -335.8561       2.9250   310.0
0.2125        -332.9268    -335.8494       2.9226   309.7
0.2130        -332.9227    -335.8599       2.9372   311.3
0.2135        -332.9183    -335.8753       2.9570   313.4
0.2140        -332.9139    -335.8794       2.9654   314.3
0.2145        -332.9087    -335.8552       2.9465   312.3
0.2150        -332.9022    -335.7971       2.8949   306.8
0.2155        -332.8943    -335.7159       2.8216   299.0
0.2160        -332.8858    -335.6381       2.7523   291.7
0.2165        -332.8776    -335.5938       2.7162   287.9
0.2170        -332.8699    -335.6016       2.7317   289.5
0.2175        -332.8634    -335.6576       2.7942   296.1
0.2180        -332.8566    -335.7319       2.8753   304.7
0.2185        -332.8485    -335.7889       2.9404   311.6
0.2190        -332.8387    -335.8031       2.9644   314.2
0.2195        -332.8268    -335.7680       2.9413   311.7
0.2200        -332.8140    -335.7002       2.8862   305.9
0.2205        -332.8013    -335.6274       2.8261   299.5
0.2210        -332.7889    -335.5759       2.7870   295.4
0.2215        -332.7778    -335.5583       2.7805   294.7
0.2220        -332.7664    -335.5686       2.8022   297.0
0.2225        -332.7544    -335.5942       2.8397   300.9
0.2230        -332.7417    -335.6205       2.8788   305.1
0.2235        -332.7277    -335.6382       2.9105   308.4
0.2240        -332.7128    -335.6482       2.9354   311.1
0.2245        -332.6974    -335.6574       2.9600   313.7
0.2250        -332.6822    -335.6714       2.9891   316.8
0.2255        -332.6665    -335.6896       3.0231   320.4
0.2260        -332.6497    -335.7099       3.0601   324.3
0.2265        -332.6317    -335.7354       3.1037   328.9
0.2270        -332.6134    -335.7804       3.1669   335.6
0.2275        -332.5957    -335.8565       3.2608   345.6
0.2280        -332.5788    -335.9582       3.3794   358.1
0.2285        -332.5618    -336.0588       3.4970   370.6
0.2290        -332.5437    -336.1250       3.5813   379.5
0.2295        -332.5246    -336.1355       3.6109   382.7
0.2300        -332.5046    -336.0868       3.5822   379.6
0.2305        -332.4840    -335.9963       3.5123   372.2
0.2310        -332.4650    -335.8965       3.4315   363.7
0.2315        -332.4469    -335.8164       3.3695   357.1
0.2320        -332.4301    -335.7769       3.3468   354.7
0.2325        -332.4143    -335.7828       3.3686   357.0
0.2330        -332.3990    -335.8217       3.4227   362.7
0.2335        -332.3839    -335.8736       3.4897   369.8
0.2340        -332.3687    -335.9173       3.5485   376.1
0.2345        -332.3530    -335.9333       3.5803   379.4
0.2350        -332.3376    -335.9110       3.5734   378.7
0.2355        -332.3216    -335.8468       3.5252   373.6
0.2360        -332.3055    -335.7511       3.4457   365.2
0.2365        -332.2895    -335.6470       3.3575   355.8
0.2370        -332.2739    -335.5646       3.2907   348.7
0.2375        -332.2599    -335.5304       3.2705   346.6
0.2380        -332.2467    -335.5539       3.3072   350.5
0.2385        -332.2346    -335.6260       3.3913   359.4
0.2390        -332.2233    -335.7161       3.4928   370.2
0.2395        -332.2112    -335.7819       3.5707   378.4
0.2400        -332.1980    -335.7877       3.5897   380.4
0.2405        -332.1839    -335.7187       3.5348   374.6
0.2410        -332.1689    -335.5878       3.4189   362.3
0.2415        -332.1546    -335.4316       3.2770   347.3
0.2420        -332.1412    -335.2929       3.1517   334.0
0.2425        -332.1295    -335.2054       3.0759   326.0
0.2430        -332.1191    -335.1823       3.0632   324.6
0.2435        -332.1096    -335.2139       3.1043   329.0
0.2440        -332.0999    -335.2719       3.1721   336.2
0.2445        -332.0892    -335.3263       3.2371   343.1
0.2450        -332.0776    -335.3563       3.2787   347.5
0.2455        -332.0644    -335.3549       3.2905   348.7
0.2460        -332.0512    -335.3332       3.2820   347.8
0.2465        -332.0381    -335.3095       3.2714   346.7
0.2470        -332.0256    -335.3026       3.2769   347.3
0.2475        -332.0130    -335.3249       3.3119   351.0
0.2480        -332.0009    -335.3848       3.3839   358.6
0.2485        -331.9897    -335.4829       3.4932   370.2
0.2490        -331.9788    -335.6048       3.6260   384.3
0.2495        -331.9686    -335.7248       3.7562   398.1
0.2500        -331.9577    -335.8110       3.8533   408.4
0.2505        -331.9465    -335.8416       3.8951   412.8
0.2510        -331.9352    -335.8114       3.8762   410.8
0.2515        -331.9242    -335.7322       3.8080   403.6
0.2520        -331.9140    -335.6259       3.7119   393.4
0.2525        -331.9052    -335.5157       3.6105   382.6
0.2530        -331.8969    -335.4207       3.5239   373.4
0.2535        -331.8903    -335.3573       3.4670   367.4
0.2540        -331.8847    -335.3275       3.4428   364.9
0.2545        -331.8798    -335.3214       3.4416   364.7
0.2550        -331.8749    -335.3232       3.4483   365.4
0.2555        -331.8697    -335.3218       3.4521   365.8
0.2560        -331.8642    -335.3158       3.4516   365.8
0.2565        -331.8593    -335.3116       3.4523   365.9
0.2570        -331.8545    -335.3147       3.4602   366.7
0.2575        -331.8504    -335.3282       3.4778   368.6
0.2580        -331.8470    -335.3505       3.5035   371.3
0.2585        -331.8437    -335.3767       3.5330   374.4
0.2590        -331.8404    -335.4022       3.5618   377.5
0.2595        -331.8376    -335.4234       3.5858   380.0
0.2600        -331.8350    -335.4352       3.6001   381.5
0.2605        -331.8328    -335.4342       3.6014   381.7
0.2610        -331.8308    -335.4219       3.5911   380.6
0.2615        -331.8289    -335.4031       3.5742   378.8
0.2620        -331.8282    -335.3837       3.5555   376.8
0.2625        -331.8283    -335.3603       3.5320   374.3
0.2630        -331.8288    -335.3231       3.4943   370.3
0.2635        -331.8287    -335.2660       3.4374   364.3
0.2640        -331.8280    -335.1940       3.3660   356.7
0.2645        -331.8275    -335.1229       3.2954   349.2
0.2650        -331.8271    -335.0715       3.2444   343.8
0.2655        -331.8281    -335.0526       3.2246   341.7
0.2660        -331.8293    -335.0639       3.2346   342.8
0.2665        -331.8310    -335.0940       3.2630   345.8
0.2670        -331.8325    -335.1276       3.2951   349.2
0.2675        -331.8334    -335.1527       3.3193   351.8
0.2680        -331.8335    -335.1669       3.3334   353.3
0.2685        -331.8336    -335.1795       3.3459   354.6
