       Step     Time          Energy         fmax
       Step     Time          Energy         fmax
GPMin:    0 21:25:54       -6.657131        1.0659
GPMin:    1 21:26:02       -7.016438        0.3373
GPMin:    2 21:26:09       -7.124077        0.1810
GPMin:    3 21:26:16       -7.179876        0.1566
GPMin:    4 21:26:23       -7.212851        0.0876
GPMin:    5 21:26:29       -7.227797        0.0582
GPMin:    6 21:26:34       -7.234310        0.0388
GPMin:    7 21:26:40       -7.238326        0.0205
GPMin:    8 21:26:46       -7.239299        0.0117
       Step     Time          Energy         fmax
GPMin:    0 21:26:56       -6.462894        0.2647
GPMin:    1 21:27:03       -6.620519        0.1717
GPMin:    2 21:27:10       -6.743934        0.1898
GPMin:    3 21:27:17       -6.863798        0.1957
GPMin:    4 21:27:24       -6.969969        0.1712
GPMin:    5 21:27:31       -7.047041        0.1101
GPMin:    6 21:27:37       -7.084649        0.0883
GPMin:    7 21:27:44       -7.098715        0.0660
GPMin:    8 21:27:50       -7.108166        0.0457
GPMin:    9 21:27:55       -7.111893        0.0307
GPMin:   10 21:28:01       -7.114012        0.0202
GPMin:   11 21:28:06       -7.115518        0.0186
       Step     Time          Energy         fmax
GPMin:    0 21:28:16       -6.426107        0.3932
GPMin:    1 21:28:24       -6.621336        0.2692
GPMin:    2 21:28:30       -6.742277        0.2492
GPMin:    3 21:28:37       -6.872094        0.2136
GPMin:    4 21:28:44       -6.979276        0.1647
GPMin:    5 21:28:51       -7.064667        0.1509
GPMin:    6 21:28:57       -7.125522        0.1369
GPMin:    7 21:29:04       -7.172266        0.1287
GPMin:    8 21:29:10       -7.213721        0.1145
GPMin:    9 21:29:16       -7.243452        0.0890
GPMin:   10 21:29:22       -7.261599        0.0560
GPMin:   11 21:29:28       -7.270843        0.0549
GPMin:   12 21:29:34       -7.276640        0.0367
GPMin:   13 21:29:39       -7.279573        0.0208
GPMin:   14 21:29:44       -7.280554        0.0134
       Step     Time          Energy         fmax
GPMin:    0 21:29:54       -6.819727        0.6826
GPMin:    1 21:30:01       -7.055185        0.1723
GPMin:    2 21:30:08       -7.084948        0.1144
GPMin:    3 21:30:14       -7.103932        0.0527
GPMin:    4 21:30:20       -7.109110        0.0290
GPMin:    5 21:30:26       -7.110524        0.0147
       Step     Time          Energy         fmax
GPMin:    0 21:30:36       -6.517310        0.5506
GPMin:    1 21:30:44       -6.740952        0.2362
GPMin:    2 21:30:50       -6.852493        0.1912
GPMin:    3 21:30:57       -6.939698        0.1796
GPMin:    4 21:31:03       -7.018189        0.1378
GPMin:    5 21:31:10       -7.086056        0.1179
GPMin:    6 21:31:16       -7.139096        0.1162
GPMin:    7 21:31:22       -7.174788        0.1270
GPMin:    8 21:31:28       -7.200507        0.1241
GPMin:    9 21:31:34       -7.226202        0.0949
GPMin:   10 21:31:41       -7.246616        0.0567
GPMin:   11 21:31:47       -7.260393        0.0645
GPMin:   12 21:31:52       -7.269078        0.0426
GPMin:   13 21:31:58       -7.273822        0.0365
GPMin:   14 21:32:04       -7.276441        0.0278
GPMin:   15 21:32:09       -7.278405        0.0235
GPMin:   16 21:32:15       -7.279591        0.0167
       Step     Time          Energy         fmax
GPMin:    0 21:32:24       -6.504907        0.3349
GPMin:    1 21:32:32       -6.661751        0.2102
GPMin:    2 21:32:39       -6.752479        0.1858
GPMin:    3 21:32:46       -6.815754        0.1495
GPMin:    4 21:32:52       -6.871359        0.1182
GPMin:    5 21:32:59       -6.912548        0.0858
GPMin:    6 21:33:05       -6.947332        0.0770
GPMin:    7 21:33:11       -6.968759        0.0969
GPMin:    8 21:33:17       -6.998609        0.0957
GPMin:    9 21:33:23       -7.029872        0.0801
GPMin:   10 21:33:30       -7.059328        0.0648
GPMin:   11 21:33:37       -7.082127        0.0443
GPMin:   12 21:33:43       -7.089191        0.0312
GPMin:   13 21:33:49       -7.092034        0.0317
GPMin:   14 21:33:54       -7.094648        0.0240
GPMin:   15 21:34:00       -7.097393        0.0190
       Step     Time          Energy         fmax
GPMin:    0 21:34:11       -6.380518        0.5583
GPMin:    1 21:34:19       -6.622688        0.1811
GPMin:    2 21:34:26       -6.695111        0.1322
GPMin:    3 21:34:33       -6.743680        0.1183
GPMin:    4 21:34:40       -6.774517        0.1148
GPMin:    5 21:34:46       -6.809786        0.1064
GPMin:    6 21:34:52       -6.848730        0.1270
GPMin:    7 21:34:58       -6.902328        0.1268
GPMin:    8 21:35:05       -6.959691        0.1521
GPMin:    9 21:35:10       -7.019822        0.1648
GPMin:   10 21:35:16       -7.086213        0.1537
GPMin:   11 21:35:22       -7.143764        0.0950
GPMin:   12 21:35:28       -7.171503        0.0900
GPMin:   13 21:35:34       -7.187522        0.0994
GPMin:   14 21:35:39       -7.210221        0.0737
GPMin:   15 21:35:45       -7.225651        0.0611
GPMin:   16 21:35:51       -7.239655        0.0635
GPMin:   17 21:35:57       -7.249759        0.0474
GPMin:   18 21:36:03       -7.255305        0.0359
GPMin:   19 21:36:09       -7.258700        0.0379
GPMin:   20 21:36:15       -7.264252        0.0413
GPMin:   21 21:36:21       -7.270007        0.0355
GPMin:   22 21:36:26       -7.276052        0.0292
GPMin:   23 21:36:32       -7.279529        0.0165
       Step     Time          Energy         fmax
GPMin:    0 21:36:41       -6.486668        0.9834
GPMin:    1 21:36:49       -6.788468        0.2554
GPMin:    2 21:36:56       -6.863872        0.1996
GPMin:    3 21:37:02       -6.937920        0.1829
GPMin:    4 21:37:09       -7.006834        0.1321
GPMin:    5 21:37:15       -7.033759        0.0505
GPMin:    6 21:37:20       -7.037455        0.0417
GPMin:    7 21:37:26       -7.040758        0.0351
GPMin:    8 21:37:31       -7.044347        0.0409
GPMin:    9 21:37:37       -7.051332        0.0362
GPMin:   10 21:37:43       -7.063026        0.0464
GPMin:   11 21:37:49       -7.081121        0.0566
GPMin:   12 21:37:55       -7.105352        0.0681
GPMin:   13 21:38:02       -7.133718        0.0879
GPMin:   14 21:38:08       -7.164489        0.1012
GPMin:   15 21:38:14       -7.198316        0.1080
GPMin:   16 21:38:20       -7.227362        0.1110
GPMin:   17 21:38:27       -7.251891        0.0894
GPMin:   18 21:38:33       -7.269168        0.0538
GPMin:   19 21:38:39       -7.275670        0.0462
GPMin:   20 21:38:45       -7.278270        0.0315
GPMin:   21 21:38:50       -7.280074        0.0175
       Step     Time          Energy         fmax
GPMin:    0 21:39:00       -6.674469        0.6791
GPMin:    1 21:39:07       -6.953131        0.2461
GPMin:    2 21:39:14       -7.070244        0.1995
GPMin:    3 21:39:21       -7.153588        0.1262
GPMin:    4 21:39:27       -7.196033        0.0936
GPMin:    5 21:39:34       -7.215348        0.0749
GPMin:    6 21:39:40       -7.238245        0.0713
GPMin:    7 21:39:46       -7.258301        0.0585
GPMin:    8 21:39:52       -7.273325        0.0461
GPMin:    9 21:39:58       -7.279142        0.0267
GPMin:   10 21:40:03       -7.280156        0.0160
       Step     Time          Energy         fmax
GPMin:    0 21:40:13       -6.756123        0.2506
GPMin:    1 21:40:21       -6.900295        0.1776
GPMin:    2 21:40:28       -6.963796        0.1380
GPMin:    3 21:40:34       -7.000980        0.0785
GPMin:    4 21:40:39       -7.018779        0.0629
GPMin:    5 21:40:45       -7.037998        0.0596
GPMin:    6 21:40:52       -7.056101        0.0558
GPMin:    7 21:40:57       -7.070883        0.0363
GPMin:    8 21:41:03       -7.079320        0.0407
GPMin:    9 21:41:08       -7.093044        0.0659
GPMin:   10 21:41:14       -7.119345        0.0826
GPMin:   11 21:41:21       -7.153505        0.1034
GPMin:   12 21:41:28       -7.194195        0.1172
GPMin:   13 21:41:35       -7.234515        0.1088
GPMin:   14 21:41:41       -7.261162        0.0742
GPMin:   15 21:41:47       -7.274252        0.0415
GPMin:   16 21:41:53       -7.278521        0.0301
GPMin:   17 21:41:58       -7.279690        0.0193
       Step     Time          Energy         fmax
GPMin:    0 21:42:08       -6.469080        0.2652
GPMin:    1 21:42:15       -6.652190        0.2562
GPMin:    2 21:42:22       -6.783768        0.2279
GPMin:    3 21:42:29       -6.894518        0.1646
GPMin:    4 21:42:35       -6.971525        0.1395
GPMin:    5 21:42:42       -7.033714        0.1196
GPMin:    6 21:42:48       -7.089808        0.1068
GPMin:    7 21:42:54       -7.125472        0.0900
GPMin:    8 21:43:00       -7.147827        0.0734
GPMin:    9 21:43:06       -7.166321        0.0763
GPMin:   10 21:43:13       -7.185963        0.0829
GPMin:   11 21:43:19       -7.212845        0.0917
GPMin:   12 21:43:25       -7.238188        0.0860
GPMin:   13 21:43:31       -7.257063        0.0641
GPMin:   14 21:43:37       -7.268049        0.0484
GPMin:   15 21:43:43       -7.272700        0.0362
GPMin:   16 21:43:48       -7.276001        0.0306
GPMin:   17 21:43:54       -7.278078        0.0197
       Step     Time          Energy         fmax
GPMin:    0 21:44:03       -6.154285        0.3921
GPMin:    1 21:44:11       -6.230760        0.1408
GPMin:    2 21:44:18       -6.267203        0.0543
GPMin:    3 21:44:24       -6.279114        0.0339
GPMin:    4 21:44:29       -6.288033        0.0245
GPMin:    5 21:44:35       -6.290915        0.0205
GPMin:    6 21:44:41       -6.291530        0.0226
GPMin:    7 21:44:46       -6.291957        0.0079
       Step     Time          Energy         fmax
GPMin:    0 21:44:56       -6.557180        0.2839
GPMin:    1 21:45:04       -6.737075        0.2162
GPMin:    2 21:45:11       -6.834904        0.1966
GPMin:    3 21:45:17       -6.925969        0.1907
GPMin:    4 21:45:24       -7.018755        0.1537
GPMin:    5 21:45:30       -7.093608        0.1122
GPMin:    6 21:45:36       -7.146365        0.1137
GPMin:    7 21:45:42       -7.179970        0.1160
GPMin:    8 21:45:48       -7.203161        0.1050
GPMin:    9 21:45:55       -7.224440        0.0782
GPMin:   10 21:46:00       -7.242553        0.0645
GPMin:   11 21:46:06       -7.257973        0.0645
GPMin:   12 21:46:11       -7.268908        0.0424
GPMin:   13 21:46:17       -7.273570        0.0393
GPMin:   14 21:46:22       -7.276105        0.0311
GPMin:   15 21:46:28       -7.277974        0.0248
GPMin:   16 21:46:33       -7.279780        0.0176
       Step     Time          Energy         fmax
GPMin:    0 21:46:45       -6.290045        0.5096
GPMin:    1 21:46:51       -6.582381        0.2009
GPMin:    2 21:46:57       -6.699085        0.1861
GPMin:    3 21:47:03       -6.766526        0.1782
GPMin:    4 21:47:09       -6.810541        0.1377
GPMin:    5 21:47:16       -6.841856        0.0580
GPMin:    6 21:47:21       -6.848965        0.0248
GPMin:    7 21:47:26       -6.849931        0.0096
       Step     Time          Energy         fmax
GPMin:    0 21:47:35       -6.550740        0.5196
GPMin:    1 21:47:41       -6.779536        0.1404
GPMin:    2 21:47:47       -6.825162        0.0974
GPMin:    3 21:47:53       -6.846423        0.0435
GPMin:    4 21:47:59       -6.850153        0.0067
       Step     Time          Energy         fmax
GPMin:    0 21:48:10       -6.157505        0.5594
GPMin:    1 21:48:17       -6.399277        0.2873
GPMin:    2 21:48:25       -6.560220        0.2779
GPMin:    3 21:48:32       -6.707750        0.2444
GPMin:    4 21:48:39       -6.823645        0.2116
GPMin:    5 21:48:46       -6.900747        0.1539
GPMin:    6 21:48:52       -6.946814        0.1140
GPMin:    7 21:48:58       -6.984639        0.1045
GPMin:    8 21:49:04       -7.024661        0.0974
GPMin:    9 21:49:10       -7.052908        0.0706
GPMin:   10 21:49:16       -7.077967        0.0820
GPMin:   11 21:49:23       -7.094005        0.0705
GPMin:   12 21:49:29       -7.103243        0.0549
GPMin:   13 21:49:35       -7.112373        0.0404
GPMin:   14 21:49:41       -7.118769        0.0368
GPMin:   15 21:49:46       -7.121656        0.0315
GPMin:   16 21:49:52       -7.124033        0.0238
GPMin:   17 21:49:57       -7.125717        0.0214
GPMin:   18 21:50:03       -7.127209        0.0288
GPMin:   19 21:50:08       -7.129841        0.0285
GPMin:   20 21:50:14       -7.131778        0.0238
GPMin:   21 21:50:19       -7.133426        0.0203
GPMin:   22 21:50:24       -7.135781        0.0189
       Step     Time          Energy         fmax
GPMin:    0 21:50:38       -5.852674        0.2555
GPMin:    1 21:50:46       -5.959587        0.1172
GPMin:    2 21:50:54       -6.023572        0.1274
GPMin:    3 21:51:01       -6.088650        0.1583
GPMin:    4 21:51:08       -6.151965        0.1613
GPMin:    5 21:51:15       -6.211453        0.1729
GPMin:    6 21:51:22       -6.287348        0.1936
GPMin:    7 21:51:29       -6.339460        0.2021
GPMin:    8 21:51:35       -6.413634        0.1934
GPMin:    9 21:51:42       -6.463933        0.1623
GPMin:   10 21:51:49       -6.518198        0.1295
GPMin:   11 21:51:55       -6.551952        0.1017
GPMin:   12 21:52:02       -6.592291        0.1046
GPMin:   13 21:52:09       -6.629671        0.1055
GPMin:   14 21:52:15       -6.662096        0.0903
GPMin:   15 21:52:21       -6.692164        0.0698
GPMin:   16 21:52:27       -6.709445        0.0684
GPMin:   17 21:52:33       -6.727634        0.0688
GPMin:   18 21:52:39       -6.750256        0.0677
GPMin:   19 21:52:46       -6.775289        0.0663
GPMin:   20 21:52:52       -6.800013        0.0678
GPMin:   21 21:52:58       -6.820291        0.0662
GPMin:   22 21:53:04       -6.839408        0.0694
GPMin:   23 21:53:10       -6.856496        0.0828
GPMin:   24 21:53:17       -6.875966        0.0967
GPMin:   25 21:53:23       -6.901745        0.1123
GPMin:   26 21:53:28       -6.932573        0.1204
GPMin:   27 21:53:34       -6.965913        0.1216
GPMin:   28 21:53:39       -6.995740        0.1013
GPMin:   29 21:53:45       -7.015714        0.0666
GPMin:   30 21:53:50       -7.023472        0.0455
GPMin:   31 21:53:56       -7.027010        0.0561
GPMin:   32 21:54:02       -7.034201        0.0516
GPMin:   33 21:54:07       -7.038949        0.0424
GPMin:   34 21:54:13       -7.044642        0.0386
GPMin:   35 21:54:18       -7.051716        0.0466
GPMin:   36 21:54:24       -7.059705        0.0510
GPMin:   37 21:54:30       -7.068404        0.0565
GPMin:   38 21:54:36       -7.079969        0.0662
GPMin:   39 21:54:42       -7.095536        0.0713
GPMin:   40 21:54:49       -7.113167        0.0692
GPMin:   41 21:54:54       -7.129765        0.0554
GPMin:   42 21:55:00       -7.141114        0.0393
GPMin:   43 21:55:06       -7.146515        0.0371
GPMin:   44 21:55:11       -7.148272        0.0311
GPMin:   45 21:55:18       -7.151222        0.0406
GPMin:   46 21:55:23       -7.152834        0.0427
GPMin:   47 21:55:30       -7.157085        0.0601
GPMin:   48 21:55:35       -7.165675        0.0627
GPMin:   49 21:55:42       -7.179099        0.0547
GPMin:   50 21:55:48       -7.198309        0.0661
GPMin:   51 21:55:54       -7.219251        0.0752
GPMin:   52 21:56:00       -7.243391        0.0709
GPMin:   53 21:56:06       -7.262149        0.0518
GPMin:   54 21:56:11       -7.272848        0.0307
GPMin:   55 21:56:17       -7.275664        0.0329
GPMin:   56 21:56:23       -7.277116        0.0262
GPMin:   57 21:56:29       -7.278975        0.0197
       Step     Time          Energy         fmax
GPMin:    0 21:56:39       -6.364667        0.6646
GPMin:    1 21:56:46       -6.593733        0.2001
GPMin:    2 21:56:53       -6.674534        0.2008
GPMin:    3 21:57:00       -6.760633        0.2143
GPMin:    4 21:57:07       -6.847566        0.2151
GPMin:    5 21:57:14       -6.931747        0.1848
GPMin:    6 21:57:21       -6.996152        0.1115
GPMin:    7 21:57:27       -7.040244        0.1039
GPMin:    8 21:57:34       -7.079770        0.1160
GPMin:    9 21:57:40       -7.119118        0.1147
GPMin:   10 21:57:46       -7.155389        0.0912
GPMin:   11 21:57:51       -7.183300        0.0913
GPMin:   12 21:57:57       -7.199516        0.0900
GPMin:   13 21:58:03       -7.214077        0.0828
GPMin:   14 21:58:08       -7.231102        0.0626
GPMin:   15 21:58:14       -7.244695        0.0572
GPMin:   16 21:58:21       -7.252498        0.0509
GPMin:   17 21:58:26       -7.259121        0.0323
GPMin:   18 21:58:32       -7.263708        0.0337
GPMin:   19 21:58:37       -7.267715        0.0448
GPMin:   20 21:58:43       -7.273411        0.0324
GPMin:   21 21:58:48       -7.277467        0.0235
GPMin:   22 21:58:54       -7.279346        0.0183
       Step     Time          Energy         fmax
GPMin:    0 21:59:05       -6.019228        0.2991
GPMin:    1 21:59:14       -6.147305        0.1124
GPMin:    2 21:59:21       -6.203617        0.1115
GPMin:    3 21:59:28       -6.265112        0.1291
GPMin:    4 21:59:35       -6.346950        0.1496
GPMin:    5 21:59:41       -6.446137        0.1723
GPMin:    6 21:59:48       -6.564597        0.1871
GPMin:    7 21:59:54       -6.683673        0.1833
GPMin:    8 22:00:01       -6.774969        0.1479
GPMin:    9 22:00:07       -6.827251        0.0873
GPMin:   10 22:00:12       -6.844170        0.0338
GPMin:   11 22:00:17       -6.845753        0.0264
GPMin:   12 22:00:22       -6.847279        0.0158
       Step     Time          Energy         fmax
GPMin:    0 22:00:33       -6.323836        0.8054
GPMin:    1 22:00:40       -6.596838        0.2475
GPMin:    2 22:00:47       -6.678351        0.2483
GPMin:    3 22:00:53       -6.767571        0.2517
GPMin:    4 22:00:59       -6.861787        0.2025
GPMin:    5 22:01:05       -6.926364        0.1338
GPMin:    6 22:01:11       -6.978970        0.1265
GPMin:    7 22:01:18       -7.045444        0.1347
GPMin:    8 22:01:24       -7.107270        0.1269
GPMin:    9 22:01:30       -7.157686        0.1116
GPMin:   10 22:01:36       -7.194163        0.0763
GPMin:   11 22:01:42       -7.215405        0.0802
GPMin:   12 22:01:48       -7.227406        0.0700
GPMin:   13 22:01:53       -7.234773        0.0423
GPMin:   14 22:01:59       -7.237937        0.0264
GPMin:   15 22:02:04       -7.239866        0.0282
GPMin:   16 22:02:10       -7.241645        0.0215
GPMin:   17 22:02:15       -7.242652        0.0237
GPMin:   18 22:02:20       -7.244178        0.0274
GPMin:   19 22:02:26       -7.246671        0.0361
GPMin:   20 22:02:32       -7.252147        0.0395
GPMin:   21 22:02:37       -7.259584        0.0365
GPMin:   22 22:02:43       -7.267855        0.0342
GPMin:   23 22:02:49       -7.274099        0.0265
GPMin:   24 22:02:55       -7.277058        0.0235
GPMin:   25 22:03:00       -7.278641        0.0223
GPMin:   26 22:03:05       -7.279659        0.0184
       Step     Time          Energy         fmax
GPMin:    0 22:03:15       -6.751988        0.4614
GPMin:    1 22:03:22       -6.914545        0.1793
GPMin:    2 22:03:28       -7.004147        0.1703
GPMin:    3 22:03:34       -7.064299        0.0943
GPMin:    4 22:03:40       -7.083026        0.0484
GPMin:    5 22:03:46       -7.089159        0.0323
GPMin:    6 22:03:53       -7.094486        0.0298
GPMin:    7 22:03:58       -7.098674        0.0271
GPMin:    8 22:04:04       -7.102866        0.0286
GPMin:    9 22:04:09       -7.107860        0.0297
GPMin:   10 22:04:15       -7.115014        0.0312
GPMin:   11 22:04:21       -7.124991        0.0339
GPMin:   12 22:04:28       -7.132524        0.0294
GPMin:   13 22:04:33       -7.137419        0.0268
GPMin:   14 22:04:39       -7.140906        0.0252
GPMin:   15 22:04:44       -7.144443        0.0210
GPMin:   16 22:04:50       -7.147591        0.0199
       Step     Time          Energy         fmax
GPMin:    0 22:05:00       -6.155194        0.6121
GPMin:    1 22:05:07       -6.488061        0.3683
GPMin:    2 22:05:14       -6.690872        0.2899
GPMin:    3 22:05:21       -6.839308        0.2087
GPMin:    4 22:05:27       -6.927126        0.1577
GPMin:    5 22:05:34       -6.973575        0.1299
GPMin:    6 22:05:41       -7.007202        0.1009
GPMin:    7 22:05:47       -7.035824        0.0895
GPMin:    8 22:05:53       -7.063178        0.0746
GPMin:    9 22:05:58       -7.085689        0.0624
GPMin:   10 22:06:04       -7.098310        0.0455
GPMin:   11 22:06:09       -7.102444        0.0430
GPMin:   12 22:06:15       -7.104768        0.0382
GPMin:   13 22:06:21       -7.107015        0.0311
GPMin:   14 22:06:26       -7.108578        0.0263
GPMin:   15 22:06:32       -7.109864        0.0190
       Step     Time          Energy         fmax
GPMin:    0 22:06:44       -6.621851        0.3699
GPMin:    1 22:06:51       -6.823442        0.1904
GPMin:    2 22:06:58       -6.931091        0.1899
GPMin:    3 22:07:04       -7.012672        0.1249
GPMin:    4 22:07:10       -7.050860        0.0653
GPMin:    5 22:07:17       -7.067407        0.0696
GPMin:    6 22:07:24       -7.083595        0.0516
GPMin:    7 22:07:30       -7.093530        0.0325
GPMin:    8 22:07:35       -7.097011        0.0205
GPMin:    9 22:07:40       -7.098331        0.0204
GPMin:   10 22:07:46       -7.101931        0.0189
       Step     Time          Energy         fmax
GPMin:    0 22:07:56       -6.792405        0.3585
GPMin:    1 22:08:03       -6.961336        0.2406
GPMin:    2 22:08:10       -7.064051        0.1745
GPMin:    3 22:08:17       -7.122197        0.0911
GPMin:    4 22:08:23       -7.143970        0.0755
GPMin:    5 22:08:29       -7.166021        0.0803
GPMin:    6 22:08:35       -7.192554        0.0780
GPMin:    7 22:08:41       -7.221347        0.0861
GPMin:    8 22:08:47       -7.250345        0.0634
GPMin:    9 22:08:53       -7.266379        0.0359
GPMin:   10 22:08:59       -7.270048        0.0369
